Brands,Models,Version,Currency,Price,Urlpic,Year,KM,Fuel_type,Transmission,Location,Color,Cilinders,Upholstery,Engine,Age
TOYOTA,COROLLA,otros,USD,3000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/corolla/pe/RT_PU_f10bdd00d0cb4cbb91b19950c41a9c12.webp,1992,200000.0,gasolina,mecanica,Provincias,gris,4.0,otros,1600.0,32
KIA,SPORTAGE,otros,USD,13500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/sportage/pe/RT_PU_c1765c49c0bf4bfda8671e636002a2d7.webp,2012,94400.0,gasolina,automatica,Lima,negro,4.0,tela,2000.0,12
TOYOTA,RAV4,4x2,USD,16000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/rav4/pe/RT_PU_9d69b329fdf14e0592bf6824af65e661.webp,2015,65000.0,gasolina,automatica,Lima,rojo,4.0,tela,1987.0,9
MAZDA,6 SEDÁN,premium,USD,15300.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/mazda/6-sedan/pe/RT_PU_d380eded7514434c91c79cc9603def68.webp,2018,58000.0,gasolina,automatica,Lima,azul,4.0,tela,2488.0,6
HYUNDAI,ELANTRA,otros,USD,12000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/hyundai/elantra/pe/RT_PU_3009a58134fa4a3eba29047a15aad1eb.webp,2016,103000.0,gasolina,automatica,Lima,negro,4.0,tela,1591.0,8
VOLKSWAGEN,PASSAT CC,otros,USD,9000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/volkswagen/passat-cc/pe/RT_PU_4813850f5b164e938cad5ec4ecea80bc.webp,2010,110000.0,gasolina,otros,Lima,azul,,otros,,14
JEEP,COMPASS,otros,USD,17000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jeep/compass/pe/RT_PU_8113197b19ec46acbdf622b4dd159268.webp,2018,50000.0,gasolina,mecanica,Lima,negro,4.0,tela,2360.0,6
FORD,EXPLORER,otros,USD,29000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/ford/explorer/pe/RT_PU_7a6c1992987b4be79e69ed2c97b78d5a.webp,2017,21200.0,gasolina,automatica,Lima,azul,6.0,cuero,3500.0,7
VOLKSWAGEN,BORA,otros,USD,7900.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/volkswagen/bora/pe/RT_PU_434570903d1d4b03a421bd53ab53821a.webp,2011,112000.0,gasolina,mecanica,Lima,negro,4.0,tela,1984.0,13
HYUNDAI,H1 VAN,otros,USD,23000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/hyundai/h1-van/pe/RT_PU_90383f23e15f49568612fdf307714803.webp,2015,13230.0,diesel,mecanica,Lima,negro,4.0,tela,2476.0,9
MAHINDRA,PIK UP,4x4,PEN,12000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/mahindra/pik-up/pe/RT_PU_09d9775339c4442c858fd7e98750f4f3.webp,2020,107000.0,diesel,mecanica,Lima,blanco,4.0,tela,2179.0,4
KIA,SOLUTO,premium,USD,13000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/soluto/pe/RT_PU_f74bf7d82b584d9b9d2d5164b8af85ed.webp,2024,500.0,gasolina,mecanica,Provincias,plata,4.0,tela,1368.0,0
VOLKSWAGEN,NIVUS,otros,USD,17800.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/volkswagen/nivus/pe/RT_PU_b3002d6db4124f009bfb202f0dfe40f2.webp,2021,53000.0,gasolina,automatica,Lima,gris,3.0,tela,1000.0,3
KIA,SPORTAGE,premium,USD,18500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/sportage/pe/RT_PU_b417e0170a46482fb4ecfe9c5def8705.webp,2018,20000.0,gasolina,automatica,Lima,plata,4.0,tela,1999.0,6
RENAULT,KWID,otros,USD,9200.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/renault/kwid/pe/RT_PU_8fab61b7df924751800adec94a249e6f.webp,2022,13000.0,gasolina,mecanica,Lima,blanco,3.0,tela,999.0,2
VOLKSWAGEN,TIGUAN,otros,USD,32000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/volkswagen/tiguan/pe/RT_PU_fab62d1e548648f49acae76ce2485664.webp,2023,17500.0,gasolina,otros,Lima,blanco,4.0,tela,1395.0,1
JEEP,COMPASS,otros,USD,12000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jeep/compass/pe/RT_PU_059c5625ae8249a495898cab08a8b4f4.webp,2015,93000.0,gasolina,mecanica,Lima,rojo,4.0,cuero,1998.0,9
