Age,Brands,Cilinder,Color,Currency,Engine,Fuel_type,KM,Location,Models,Price,Transmission,Upholstery,Urlpic,Version,Year
2.0,TOYOTA,,blanco,USD,2000.0,gasolina,48390.0,Lima,RAV4,24500.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/155466/155466_7878299.webp,4x2,2022.0
18.0,VOLKSWAGEN,4.0,azul,USD,2000.0,gasolina,160000.0,Provincias,PASSAT,5990.0,automatica_secuencial,cuero,https://cde.neoauto.pe/autos_usados/360x240/677522/677522_6869067.webp,4x2,2006.0
6.0,MERCEDES BENZ,4.0,rojo,USD,1595.0,gasolina,41800.0,Lima,A-180,17990.0,mecanica,cuero,https://cde.neoauto.pe/autos_usados/360x240/518808/518808_8591489.webp,4x2,2018.0
12.0,BMW,8.0,otros,USD,4400.0,gasolina,38000.0,Lima,750LI,29500.0,automatica_secuencial,tela,https://cde.neoauto.pe/autos_usados/360x240/463366/463366_1060813.webp,posterior,2012.0
6.0,MERCEDES BENZ,4.0,otros,USD,1595.0,gasolina,37200.0,Lima,GLA 200,22990.0,automatica,cuero,https://cde.neoauto.pe/autos_usados/360x240/518808/518808_7875814.webp,otros,2018.0
6.0,FORD,6.0,blanco,USD,3500.0,gasolina,41000.0,Lima,RAPTOR,59900.0,automatica_secuencial,cuero,https://cde.neoauto.pe/autos_usados/360x240/463366/463366_8257190.webp,4x4,2018.0
7.0,SUBARU,,azul,USD,2600.0,gasolina,83700.0,Lima,XV,15500.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/155466/155466_5806603.webp,4x4,2017.0
2.0,VOLVO,3.0,azul,USD,1477.0,otros,62125.0,Lima,XC-40,38990.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/518808/518808_7059211.webp,4x2,2022.0
43.0,FORD,6.0,marron,USD,3700.0,gasolina,48200.0,Lima,MUSTANG,8000.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/208640/208640_3682346.webp,posterior,1981.0
1.0,MERCEDES BENZ,4.0,otros,USD,2000.0,gasolina,5000.0,Lima,CLA 45 AMG,78900.0,automatica_secuencial,tela,https://cde.neoauto.pe/autos_usados/360x240/662195/662195_4231257.webp,otros,2023.0
1.0,SUBARU,4.0,blanco,USD,2000.0,gasolina,3850.0,Provincias,ALL NEW FORESTER,32500.0,automatica_secuencial,tela,https://cde.neoauto.pe/autos_usados/360x240/675261/675261_6362351.webp,otros,2023.0
6.0,JAGUAR,4.0,gris,USD,1997.0,gasolina,49000.0,Lima,F-PACE,35990.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/518808/518808_1198858.webp,4x4,2018.0
7.0,SUBARU,4.0,blanco,USD,2000.0,gasolina,52121.0,Lima,XV,17300.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/114176/114176_6721782.webp,otros,2017.0
10.0,MITSUBISHI,4.0,gris,USD,2477.0,diesel,160000.0,Lima,L200,14800.0,mecanica,tela,https://cde.neoauto.pe/autos_usados/360x240/742882/742882_4093045.webp,4x4,2014.0
4.0,NISSAN,4.0,otros,USD,1600.0,gasolina,120000.0,Lima,VERSA,8700.0,mecanica,tela,https://cde.neoauto.pe/autos_usados/360x240/643129/643129_9627027.webp,4x2,2020.0
0.0,KIA,,gris,USD,2497.0,gasolina,4500.0,Lima,SORENTO,35000.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/370026/370026_8843427.webp,4x2,2024.0
3.0,CHEVROLET,3.0,negro,USD,1200.0,gasolina,34480.0,Lima,TRACKER,17000.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/552635/552635_3622474.webp,delantera,2021.0
3.0,SUBARU,4.0,rojo,USD,2387.0,gasolina,50000.0,Lima,EVOLTIS,36900.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/239435/239435_2740551.webp,otros,2021.0
10.0,MG,4.0,rojo,USD,1500.0,gasolina,75967.0,Lima,5,6800.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/742794/742794_8768788.webp,delantera,2014.0
7.0,HYUNDAI,4.0,blanco,USD,2000.0,dual,72000.0,Lima,TUCSON,16500.0,mecanica,tela,https://cde.neoauto.pe/autos_usados/360x240/742821/742821_3130547.webp,otros,2017.0
7.0,VOLKSWAGEN,4.0,negro,USD,1400.0,gasolina,30700.0,Lima,JETTA,13000.0,automatica,cuero,https://cde.neoauto.pe/autos_usados/360x240/473225/473225_4262269.webp,4x2,2017.0
4.0,SSANGYONG,,azul,USD,20.0,gasolina,93900.0,Lima,NEW REXTON,22000.0,automatica,cuero,https://cde.neoauto.pe/autos_usados/360x240/189562/189562_3991516.webp,4x2,2020.0
7.0,NISSAN,4.0,blanco,USD,2500.0,gasolina,57000.0,Lima,X-TRAIL,15900.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/117841/117841_8698322.webp,4x2,2017.0
1.0,CHERY,4.0,gris,USD,1600.0,gasolina,31400.0,Lima,TIGGO 8 PRO,23900.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/701904/701904_8423518.webp,4x2,2023.0
4.0,VOLKSWAGEN,4.0,gris,USD,2000.0,gasolina,47000.0,Lima,TIGUAN ALLSPACE,26900.0,automatica_secuencial,cuero,https://cde.neoauto.pe/autos_usados/360x240/114188/114188_4457037.webp,otros,2020.0
3.0,BMW,,negro,USD,2000.0,gasolina,,Lima,X-3,39000.0,automatica_secuencial,tela,https://cde.neoauto.pe/autos_usados/360x240/619774/619774_6719033.webp,4x2,2021.0
8.0,MAZDA,4.0,gris,USD,1500.0,gasolina,70000.0,Lima,2,12500.0,automatica_secuencial,tela,https://cde.neoauto.pe/autos_usados/360x240/208640/208640_4525175.webp,delantera,2016.0
