Brand,Model,Version,Currency,Price,urlpic,Year,KM,Gastype,Transmision,Location
Audi,A4,2.0 T FSI,USD,"u$s23,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/audi/a4/pe/RT_PU_7f60c1d6dcdd4b31ac6d467f8be6cae9.webp,2017,33096 km,gasolina,manual 6 velocidades,Lima |Lima
Fiat,Uno Way,1.4L Plus,USD,"u$s9,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/fiat/uno-way/pe/RT_PU_fbea39ac86964628a454c0401af12ddb.webp,2019,93600 km,gasolina,manual 6 velocidades,Cañete |Lima
Chevrolet,N300 Max,1.2 Cargo Base,USD,"u$s8,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/chevrolet/n300-max/pe/RT_PU_3904d44d78b74d6bae7bd8dab4599571.webp,2017,79771 km,gasolina,manual 6 velocidades,Lima |Lima
KIA,Soluto,1.4L LX Plus,USD,"u$s8,300",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/soluto/pe/RT_PU_f8e2f1b532b34f70b39927d559a6901f.webp,2020,100000 km,gasolina,manual 6 velocidades,Lima |Lima
KIA,Rio Cross,1.4L Full,USD,"u$s10,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/rio-cross/pe/RT_PU_16d687e4f52b4aab993d74868aeebe35.webp,2019,88000 km,gasolina,manual 6 velocidades,Lima |Lima
Haval,H2,Supreme AT 4x2,USD,"u$s13,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/haval/h2/pe/RT_PU_27959d92b9cb450db531d0c020cbef67.webp,2021,150000 km,gasolina,manual 6 velocidades,Lima |Lima
Hyundai,Tucson,GL 2.0L 4x2,USD,"u$s8,800",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/hyundai/tucson/pe/RT_PU_5f9e5aee00d34d49abc98873d285572d.webp,2010,121000 km,gasolina,manual 6 velocidades,Lima |Lima
Toyota,Corolla,1.8 Full,USD,"u$s14,800",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/corolla/pe/RT_PU_ec8a97fde65f49b4b31896ed889fb823.webp,2016,66000 km,gasolina,manual 6 velocidades,Lima |Lima
KIA,Sonet,1.5L LX Full,USD,"u$s16,100",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/sonet/pe/RT_PU_74ce0ff2ddd64bd6acfc5230dcd7ba3a.webp,2021,20000 km,gasolina,manual 6 velocidades,Lima |Lima
Suzuki,APV,Minivan,PEN,"$12,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/suzuki/apv/pe/RT_PU_6333eaadba9c4dfdb3757f17702cf79d.webp,2015,200000 km,gasolina,manual 6 velocidades,Lima |Lima
